time,message,beeId
2020-05-30T08:22:22,logger initialized,0
2020-05-30T08:22:22,bee spawned,1
2020-05-30T08:22:28,bee got damaged,1
2020-05-30T08:22:29,bee spawned,2
2020-05-30T08:22:29,bee died,1
2020-05-30T08:22:35,bee stung player,2
2020-05-30T08:22:35,bee spawned,3
2020-05-30T08:22:39,bee got damaged,3
2020-05-30T08:22:42,bee spawned,4
2020-05-30T08:22:42,bee died,3
2020-05-30T08:22:52,bee got damaged,4
2020-05-30T08:22:55,bee spawned,5
2020-05-30T08:22:55,bee died,4
2020-05-30T08:22:56,bee spawned,6
2020-05-30T08:22:56,spray spawned,0
2020-05-30T08:22:56,onion spawned,0
2020-05-30T08:23:01,bee got damaged,5
2020-05-30T08:23:01,bee spawned,7
2020-05-30T08:23:02,bee got damaged,6
2020-05-30T08:23:03,bee died,6
2020-05-30T08:23:04,bee stung player,7
2020-05-30T08:23:04,bee spawned,8
2020-05-30T08:23:05,bee died,5
2020-05-30T08:23:15,bee got damaged,8
2020-05-30T08:23:19,bee spawned,9
2020-05-30T08:23:19,bee died,8
2020-05-30T08:23:27,bee spawned,10
2020-05-30T08:23:40,bee spawned,11
2020-05-30T08:23:40,onion collected,0
2020-05-30T08:23:45,bee got damaged,9
2020-05-30T08:23:46,bee got damaged,10
2020-05-30T08:23:47,bee died,9
2020-05-30T08:23:48,bee got damaged,11
2020-05-30T08:23:49,bee stung player,11
2020-05-30T08:23:49,bee spawned,12
2020-05-30T08:23:50,bee died,10
2020-05-30T08:23:52,bee spawned,13
2020-05-30T08:23:53,bee got damaged,13
2020-05-30T08:23:55,bee died,13
2020-05-30T08:24:00,bee got damaged,12
2020-05-30T08:24:06,bee stung player,12
