time,message,beeId
2020-05-24T17:53:51,logger initialized,0
2020-05-24T17:53:51,bee spawned,1
2020-05-24T17:53:54,bee stung player,1
2020-05-24T17:53:54,bee spawned,2
2020-05-24T17:54:02,bee stung player,2
2020-05-24T17:54:02,bee spawned,3
2020-05-24T17:54:08,bee got damaged,3
2020-05-24T17:54:08,bee spawned,4
2020-05-24T17:54:08,bee died,3
2020-05-24T17:54:16,bee got damaged,4
2020-05-24T17:54:16,spray spawned,0
2020-05-24T17:54:17,onion spawned,0
2020-05-24T17:54:17,bee spawned,5
2020-05-24T17:54:20,bee died,4
2020-05-24T17:54:23,bee spawned,6
2020-05-24T17:54:25,bee got damaged,5
2020-05-24T17:54:26,bee died,5
2020-05-24T17:54:29,bee stung player,6
