time,message,beeId
2020-05-30T13:09:20,logger initialized,0
2020-05-30T13:09:20,bee spawned,1
2020-05-30T13:09:24,bee got damaged,1
2020-05-30T13:09:27,bee spawned,2
2020-05-30T13:09:27,bee died,1
2020-05-30T13:09:30,bee got damaged,2
2020-05-30T13:09:31,bee spawned,3
2020-05-30T13:09:31,bee died,2
2020-05-30T13:09:35,bee got damaged,3
2020-05-30T13:09:38,bee spawned,4
2020-05-30T13:09:38,bee died,3
2020-05-30T13:09:45,bee stung player,4
2020-05-30T13:09:45,bee spawned,5
2020-05-30T13:09:48,onion spawned,0
2020-05-30T13:09:50,bee got damaged,5
2020-05-30T13:09:51,spray spawned,0
2020-05-30T13:09:51,bee spawned,6
2020-05-30T13:09:51,bee spawned,7
2020-05-30T13:09:52,bee died,5
2020-05-30T13:09:52,bee stung player,5
2020-05-30T13:09:52,bee spawned,8
2020-05-30T13:09:56,bee got damaged,7
2020-05-30T13:09:57,bee died,7
2020-05-30T13:09:59,bee stung player,6
