time,message,beeId
2020-05-30T08:31:30,logger initialized,0
2020-05-30T08:31:30,bee spawned,1
2020-05-30T08:31:34,bee got damaged,1
2020-05-30T08:31:36,bee spawned,2
2020-05-30T08:31:36,bee died,1
2020-05-30T08:31:46,bee got damaged,2
2020-05-30T08:31:48,bee spawned,3
2020-05-30T08:31:48,bee died,2
2020-05-30T08:31:51,bee got damaged,3
2020-05-30T08:31:51,bee stung player,3
2020-05-30T08:31:51,bee spawned,4
2020-05-30T08:31:59,spray spawned,0
2020-05-30T08:32:00,onion spawned,0
2020-05-30T08:32:01,bee spawned,5
2020-05-30T08:32:06,bee got damaged,4
2020-05-30T08:32:06,bee stung player,4
2020-05-30T08:32:06,bee spawned,6
2020-05-30T08:32:06,bee got damaged,5
2020-05-30T08:32:07,bee spawned,7
2020-05-30T08:32:08,bee died,5
2020-05-30T08:32:10,bee got damaged,7
2020-05-30T08:32:10,bee stung player,7
