time,message,beeId
2020-05-28T18:04:11,logger initialized,0
2020-05-28T18:04:11,bee spawned,1
2020-05-28T18:04:16,bee got damaged,1
2020-05-28T18:04:16,bee spawned,2
2020-05-28T18:04:16,bee died,1
2020-05-28T18:04:29,bee got damaged,2
2020-05-28T18:04:29,bee spawned,3
2020-05-28T18:04:29,bee died,2
2020-05-28T18:04:34,bee got damaged,3
2020-05-28T18:04:34,bee stung player,3
2020-05-28T18:04:34,bee spawned,4
2020-05-28T18:04:41,onion spawned,0
2020-05-28T18:04:42,bee got damaged,4
2020-05-28T18:04:43,spray spawned,0
2020-05-28T18:04:45,bee spawned,5
2020-05-28T18:04:45,bee died,4
2020-05-28T18:04:47,bee spawned,6
2020-05-28T18:04:51,spray collected,0
2020-05-28T18:04:51,bee spawned,7
2020-05-28T18:04:59,bee numbed,6
2020-05-28T18:05:06,bee got damaged,7
2020-05-28T18:05:06,bee stung player,7
2020-05-28T18:05:06,bee spawned,8
2020-05-28T18:05:06,bee got damaged,5
2020-05-28T18:05:10,bee died,5
2020-05-28T18:05:13,bee got damaged,6
2020-05-28T18:05:17,bee died,6
2020-05-28T18:05:20,bee spawned,9
2020-05-28T18:05:20,bee got damaged,8
2020-05-28T18:05:23,bee numbed,8
2020-05-28T18:05:24,spray spawned,0
2020-05-28T18:05:27,bee spawned,10
2020-05-28T18:05:27,bee got damaged,9
2020-05-28T18:05:29,bee died,9
2020-05-28T18:05:34,bee numbed,8
2020-05-28T18:05:36,bee stung player,10
