time,message,beeId
2020-05-24T13:25:40,logger initialized,0
2020-05-24T13:25:41,bee spawned,1
2020-05-24T13:25:52,bee got damaged,1
2020-05-24T13:25:53,bee spawned,2
2020-05-24T13:25:53,bee died,1
2020-05-24T13:25:59,bee stung player,2
2020-05-24T13:25:59,bee spawned,3
2020-05-24T13:26:38,bee got damaged,3
2020-05-24T13:26:40,onion spawned,0
2020-05-24T13:26:40,bee spawned,4
2020-05-24T13:26:40,bee died,3
2020-05-24T13:26:43,bee spawned,5
2020-05-24T13:26:47,bee got damaged,4
2020-05-24T13:26:47,spray spawned,0
2020-05-24T13:26:48,bee stung player,4
2020-05-24T13:26:48,bee spawned,6
2020-05-24T13:26:51,bee spawned,7
2020-05-24T13:26:57,bee got damaged,5
2020-05-24T13:26:58,bee got damaged,6
2020-05-24T13:26:59,bee died,6
2020-05-24T13:27:02,bee died,5
2020-05-24T13:27:05,bee got damaged,7
2020-05-24T13:27:06,bee spawned,8
2020-05-24T13:27:06,bee died,7
2020-05-24T13:27:07,bee got damaged,8
2020-05-24T13:27:07,bee spawned,9
2020-05-24T13:27:07,bee died,8
2020-05-24T13:27:16,bee got damaged,9
2020-05-24T13:27:22,bee spawned,10
2020-05-24T13:27:27,bee died,9
2020-05-24T13:27:30,bee spawned,11
2020-05-24T13:27:41,bee got damaged,10
2020-05-24T13:27:43,bee died,10
2020-05-24T13:27:51,bee spawned,12
2020-05-24T13:27:57,bee spawned,13
2020-05-24T13:27:57,bee got damaged,11
2020-05-24T13:27:57,bee stung player,11
