time,message,beeId
2020-05-24T15:09:59,logger initialized,0
2020-05-24T15:09:59,bee spawned,1
2020-05-24T15:10:05,bee got damaged,1
2020-05-24T15:10:05,bee spawned,2
2020-05-24T15:10:05,bee died,1
2020-05-24T15:10:15,bee got damaged,2
2020-05-24T15:10:17,bee stung player,2
2020-05-24T15:10:17,bee spawned,3
2020-05-24T15:10:24,bee got damaged,3
2020-05-24T15:10:25,bee spawned,4
2020-05-24T15:10:25,bee died,3
2020-05-24T15:10:28,spray spawned,0
2020-05-24T15:10:29,bee spawned,5
2020-05-24T15:10:30,bee got damaged,4
2020-05-24T15:10:31,bee spawned,6
2020-05-24T15:10:32,bee died,4
2020-05-24T15:10:32,onion spawned,0
2020-05-24T15:10:35,bee got damaged,5
2020-05-24T15:10:38,bee died,5
2020-05-24T15:10:42,onion collected,0
2020-05-24T15:10:45,bee got damaged,6
2020-05-24T15:10:46,bee spawned,7
2020-05-24T15:10:46,bee died,6
2020-05-24T15:10:55,bee got damaged,7
2020-05-24T15:10:58,bee spawned,8
2020-05-24T15:10:58,bee died,7
2020-05-24T15:11:00,bee spawned,9
2020-05-24T15:11:00,bee got damaged,9
2020-05-24T15:11:00,bee died,9
2020-05-24T15:11:00,bee spawned,10
2020-05-24T15:11:05,bee got damaged,8
2020-05-24T15:11:06,bee died,8
2020-05-24T15:11:08,onion spawned,0
2020-05-24T15:11:25,bee spawned,11
2020-05-24T15:11:36,bee spawned,12
2020-05-24T15:11:42,bee got damaged,10
2020-05-24T15:11:42,bee died,10
2020-05-24T15:11:45,bee got damaged,11
2020-05-24T15:11:46,bee died,11
2020-05-24T15:11:46,bee got damaged,12
2020-05-24T15:11:48,bee spawned,13
2020-05-24T15:11:48,bee died,12
2020-05-24T15:12:01,bee spawned,14
2020-05-24T15:12:03,bee got damaged,13
2020-05-24T15:12:03,bee spawned,15
2020-05-24T15:12:06,bee died,13
2020-05-24T15:12:15,bee got damaged,15
2020-05-24T15:12:16,bee stung player,14
2020-05-24T15:12:16,bee spawned,16
2020-05-24T15:12:17,bee died,15
2020-05-24T15:12:20,bee got damaged,16
2020-05-24T15:12:20,bee spawned,17
2020-05-24T15:12:20,bee died,16
2020-05-24T15:12:27,bee got damaged,17
2020-05-24T15:12:29,bee spawned,18
2020-05-24T15:12:29,bee died,17
2020-05-24T15:12:32,bee spawned,19
2020-05-24T15:12:36,bee got damaged,18
2020-05-24T15:12:39,bee died,18
2020-05-24T15:12:42,bee spawned,20
2020-05-24T15:12:44,bee got damaged,19
2020-05-24T15:12:44,bee got damaged,20
2020-05-24T15:12:46,bee died,20
2020-05-24T15:12:49,bee spawned,21
2020-05-24T15:12:49,bee died,19
2020-05-24T15:12:53,spray collected,0
2020-05-24T15:13:00,bee stung player,21
2020-05-24T15:13:00,bee spawned,22
2020-05-24T15:13:09,bee spawned,23
2020-05-24T15:13:11,bee got damaged,22
2020-05-24T15:13:12,bee stung player,22
