time,message,beeId
2020-05-28T18:05:39,logger initialized,0
2020-05-28T18:05:39,bee spawned,1
2020-05-28T18:05:43,bee stung player,1
2020-05-28T18:05:43,bee spawned,2
2020-05-28T18:05:50,bee got damaged,2
2020-05-28T18:05:51,bee spawned,3
2020-05-28T18:05:51,bee died,2
2020-05-28T18:06:06,bee got damaged,3
2020-05-28T18:06:06,onion spawned,0
2020-05-28T18:06:08,bee spawned,4
2020-05-28T18:06:08,bee died,3
2020-05-28T18:06:11,bee spawned,5
2020-05-28T18:06:11,bee got damaged,4
2020-05-28T18:06:13,spray spawned,0
2020-05-28T18:06:14,bee died,4
2020-05-28T18:06:15,bee spawned,6
2020-05-28T18:06:20,bee got damaged,5
2020-05-28T18:06:32,bee died,5
2020-05-28T18:06:35,bee got damaged,6
2020-05-28T18:06:35,bee spawned,7
2020-05-28T18:06:35,bee died,6
2020-05-28T18:06:43,bee spawned,8
2020-05-28T18:06:44,onion collected,0
2020-05-28T18:06:47,bee spawned,9
2020-05-28T18:06:57,bee got damaged,8
2020-05-28T18:06:57,bee died,8
2020-05-28T18:07:00,bee got damaged,7
2020-05-28T18:07:01,bee died,7
2020-05-28T18:07:06,bee got damaged,9
2020-05-28T18:07:08,bee stung player,9
2020-05-28T18:07:08,bee spawned,10
2020-05-28T18:07:11,onion spawned,0
2020-05-28T18:07:15,bee spawned,11
2020-05-28T18:07:16,bee spawned,12
2020-05-28T18:07:34,bee got damaged,10
2020-05-28T18:07:34,bee died,10
2020-05-28T18:07:35,bee got damaged,12
2020-05-28T18:07:35,bee died,12
2020-05-28T18:07:41,bee spawned,13
2020-05-28T18:07:45,bee got damaged,11
2020-05-28T18:07:48,bee died,11
2020-05-28T18:07:50,bee spawned,14
2020-05-28T18:08:00,bee got damaged,13
2020-05-28T18:08:03,bee died,13
2020-05-28T18:08:15,bee spawned,15
2020-05-28T18:08:17,bee stung player,14
2020-05-28T18:08:17,bee spawned,16
2020-05-28T18:08:20,bee spawned,17
2020-05-28T18:08:27,bee stung player,15
